Title,Authors,URL,DOI,Published Date,Approach,Evidence Focus,Paper Title,Relevance,Summary
MOOSE-Chem: Large Language Models for Rediscovering Unseen Chemistry Scientific Hypotheses,"Zonglin Yang, Wanhao Liu, Ben Gao, Tong Xie, Yuqiang Li, Wanli Ouyang, Soujanya Poria, Erik Cambria, Dongzhan Zhou",https://arxiv.org/pdf/2410.07076,10.48550/arXiv.2410.07076,2024,LLM-based chemistry hypothesis generation,Novelty and validity in chemistry,MOOSE-Chem: Large Language Models for Rediscovering Unseen Chemistry Scientific Hypotheses,"Tests whether an LLM system can generate novel and valid chemistry hypotheses, offering a domain-specific single/system baseline.","Scientific discovery plays a pivotal role in advancing human society, and recent progress in large language models (LLMs) suggests their potential to accelerate this process. However, it remains unclear whether LLMs can autonomously generate novel and valid hypotheses in chemistry. In this work, we investigate whether LLMs can discover high-quality chemistry hypotheses given only a research background-comprising a question and/or a survey-without restriction on the domain of the question. We begin with the observation that hypothesis discovery is a seemingly intractable task. To address this, we propose a formal mathematical decomposition grounded in a fundamental assumption: that most chemistry hypotheses can be composed from a research background and a set of inspirations. This decomposition leads to three practical subtasks-retrieving inspirations, composing hypotheses with inspirations, and ranking hypotheses - which together constitute a sufficient set of subtasks for the overall scientific discovery task. We further develop an agentic LLM framework, MOOSE-Chem, that is a direct implementation of this mathematical decomposition. To evaluate this framework, we construct a benchmark of 51 high-impact chemistry papers published and online after January 2024, each manually annotated by PhD chemists with background, inspirations, and hypothesis. The framework is able to rediscover many hypotheses with high similarity to the groundtruth, successfully capturing the core innovations-while ensuring no data contamination since it uses an LLM with knowledge cutoff date prior to 2024. Finally, based on LLM's surprisingly high accuracy on inspiration retrieval, a task with inherently out-of-distribution nature, we propose a bold assumption: that LLMs may already encode latent scientific knowledge associations not yet recognized by humans."
SciMON: Scientific Inspiration Machines Optimized for Novelty,"Qingyun Wang, Doug Downey, Heng Ji, Tom Hope",https://aclanthology.org/2024.acl-long.18.pdf,10.18653/v1/2024.acl-long.18,2023,Novelty-optimized language-model generation,Novelty and literature-grounded scientific directions,SciMON: Scientific Inspiration Machines Optimized for Novelty,Directly addresses novelty optimization in LLM-generated scientific directions and provides a contrast to validity- or relevance-driven generation.,"We explore and enhance the ability of neural language models to generate novel scientific directions grounded in literature. Work on literature-based hypothesis generation has traditionally focused on binary link prediction--severely limiting the expressivity of hypotheses. This line of work also does not focus on optimizing novelty. We take a dramatic departure with a novel setting in which models use as input background contexts (e.g., problems, experimental settings, goals), and output natural language ideas grounded in literature. We present SciMON, a modeling framework that uses retrieval of""inspirations""from past scientific papers, and explicitly optimizes for novelty by iteratively comparing to prior papers and updating idea suggestions until sufficient novelty is achieved. Comprehensive evaluations reveal that GPT-4 tends to generate ideas with overall low technical depth and novelty, while our methods partially mitigate this issue. Our work represents a first step toward evaluating and developing language models that generate new ideas derived from the scientific literature"
ResearchAgent: Iterative Research Idea Generation over Scientific Literature with Large Language Models,"Jinheon Baek, S. Jauhar, Silviu Cucerzan, Sung Ju Hwang",https://arxiv.org/pdf/2404.07738,10.48550/arXiv.2404.07738,2024,Iterative single-agent research workflow,Research idea quality and literature grounding,ResearchAgent: Iterative Research Idea Generation over Scientific Literature with Large Language Models,"Studies iterative literature-grounded idea generation, useful for separating gains from iteration and retrieval from gains due specifically to multi-agent debate.","The pace of scientific research, vital for improving human life, is complex, slow, and needs specialized expertise. Meanwhile, novel, impactful research often stems from both a deep understanding of prior work, and a cross-pollination of ideas across domains and fields. To enhance the productivity of researchers, we propose ResearchAgent, which leverages the encyclopedic knowledge and linguistic reasoning capabilities of Large Language Models (LLMs) to assist them in their work. This system automatically defines novel problems, proposes methods and designs experiments, while iteratively refining them based on the feedback from collaborative LLM-powered reviewing agents. Specifically, starting with a core scientific paper, ResearchAgent is augmented not only with relevant publications by connecting information over an academic graph but also entities retrieved from a knowledge store derived from shared underlying concepts mined across numerous papers. Then, mimicking a scientific approach to improving ideas with peer discussions, we leverage multiple LLM-based ReviewingAgents that provide reviews and feedback via iterative revision processes. These reviewing agents are instantiated with human preference-aligned LLMs whose criteria for evaluation are elicited from actual human judgments via LLM prompting. We experimentally validate our ResearchAgent on scientific publications across multiple disciplines, showing its effectiveness in generating novel, clear, and valid ideas based on both human and model-based evaluation results. Our initial foray into AI-mediated scientific research has important implications for the development of future systems aimed at supporting researchers in their ideation and operationalization of novel work."
"BioDisco: Multi-agent hypothesis generation with dual-mode evidence, iterative feedback and temporal evaluation","Yujing Ke, K. George, Kathan Pandya, D. Blumenthal, Maximilian Sprang, Gerrit Großmann, Sebastian J. Vollmer, D. A. Selby",https://arxiv.org/pdf/2508.01285,10.48550/arXiv.2508.01285,2025,"Multi-agent generation, critique, and temporal evaluation","Novelty, evidence grounding, and prospective utility","BioDisco: Multi-agent hypothesis generation with dual-mode evidence, iterative feedback and temporal evaluation","Directly relevant multi-agent framework that combines evidence grounding, iterative feedback, and temporal evaluation of future discovery potential.","Identifying novel hypotheses is essential to scientific research, yet this process risks being overwhelmed by the sheer volume and complexity of available information. Existing automated methods often struggle to generate novel and evidence-grounded hypotheses, lack robust iterative refinement and rarely undergo rigorous temporal evaluation for future discovery potential. To address this, we propose BioDisco, a multi-agent framework that draws upon language model-based reasoning and a dual-mode evidence system (biomedical knowledge graphs and automated literature retrieval) for grounded novelty, integrates an internal scoring and feedback loop for iterative refinement, and validates performance through pioneering temporal and human evaluations and a Bradley-Terry paired comparison model to provide statistically-grounded assessment. Our evaluations demonstrate superior novelty and significance over ablated configurations and generalist biomedical agents. Designed for flexibility and modularity, BioDisco allows seamless integration of custom language models or knowledge graphs, and can be run with just a few lines of code."
Multi agent large language models for biomedical hypothesis generation in drug combination discovery,"Qidi Xu, Claudio Soto, Mohammad Shahnawaz, Xiaozhong Liu, Xiaoqian Jiang, Yejin Kim",https://doi.org/10.1016/j.isci.2025.113984,10.1016/j.isci.2025.113984,2025,Specialized multi-agent biomedical reasoning,Biomedical usefulness and combination-therapy prediction,Multi agent large language models for biomedical hypothesis generation in drug combination discovery,"Applies specialized multi-agent collaboration to biomedical combination hypotheses in a data-scarce setting, with practical drug-discovery relevance.","Summary Recent advancements in large language models (LLMs) have demonstrated their potential in scientific reasoning, but their ability to open-ended hypotheses in data-scarce domains remains underexplored. Here, we introduce Combinatorial Alzheimer’s Disease Therapeutic Efficacy Decision (Coated-LLM), an AI-driven framework that is inspired by scientific collaboration to predict efficacious combinatorial therapy when data-driven prediction is infeasible. Coated-LLM employs multiple specialized LLM agents—Researcher, Reviewers, and Moderator—to systematically generate and evaluate hypotheses through several in-context learning techniques. Using Alzheimer’s disease (AD) as a test case, Coated-LLM outperformed traditional knowledge-based methods (accuracy: 0.74 vs. 0.52), with external validation achieving an accuracy of 0.82. In addition, a drug combination predicted from Coated-LLM was experimentally validated to significantly reduce amyloid aggregation in vitro. These findings highlight the potential of our framework to augment human reasoning in complex scientific reasoning tasks, offering a scalable approach for hypothesis generation in biomedical research."
Collaborative Swarm Intelligence Framework for Multi-Agent Scientific Discovery Systems,"Nalini Chekuri, Y. Poudel",https://www.semanticscholar.org/paper/cb374ad4c6205555fcb32ec6cccb04e5319ffb3b,10.63328/ijcseai-v1ri1p3,2024,Multi-agent swarm intelligence,Discovery workflow quality and consensus formation,Collaborative Swarm Intelligence Framework for Multi-Agent Scientific Discovery Systems,"Framework paper contrasting centralized or single-agent scientific workflows with collaborative multi-agent exploration, knowledge sharing, and consensus.","Being a collaborative, iterative process, scientific discovery requires synthesis of large amounts of literature, the development of new theories or hypotheses, the design of new experiments, and extensive validation. Most of the existing automated research systems are centralized or single-agent pipelines whose ability is only applicable for parallel exploration, knowledge sharing, and consensus formation is limited. In this paper, a Collaborative Swarm Intelligence Framework (CSIF) for multi-agent scientific discovery is proposed where the rapidity and diversity of scientific discovery is accelerated by coordinating and sharing the knowledge of a swarm of specialized and autonomous research agents containing agents for literature search, hypothesis generation, experimental design, data analysis and validation. By relying on stigmergy with coordination and weighted consensus, it allows emergent collective intelligence, while avoiding any centralized bottlenecks as constructed from a swarm architecture. Novelty detection rates achieved are 98%, accuracy of the hypothesis of 96%, consensus quality score of 97% and the hypothesis validation classifier AUC of 0.96, significantly exceeding scores for single-agent, RAG-based, and hierarchical multi-agent baselines on experimental evaluation on arXiv metadata, Semantic Scholar corpora, as well as common scientific benchmark datasets."
Dynamic Knowledge Exchange and Dual-diversity Review: Concisely Unleashing the Potential of a Multi-Agent Research Team,"Wei Yu, Shixiang Tang, Yonggui Huang, Nanqing Dong, Liwen Fan, Honggang Qi, Wei Liu, X. Diao, Xi Chen, Wanli Ouyang",https://www.semanticscholar.org/paper/5976110766078421c0cf16d69bca1fe26787e6f7,10.48550/arXiv.2506.18348,2025,Multi-agent research team with internal discussion and voting,"Idea diversity, review quality, and research-team performance",Dynamic Knowledge Exchange and Dual-diversity Review: Concisely Unleashing the Potential of a Multi-Agent Research Team,Examines dynamic knowledge exchange and diversity-aware review mechanisms designed to improve multi-agent research ideation.,"Scientific progress increasingly relies on effective collaboration among researchers, a dynamic that large language models (LLMs) have only begun to emulate. While recent LLM-based scientist agents show promise in autonomous scientific discovery, they often lack the interactive reasoning and evaluation mechanisms essential to real-world research. We propose IDVSCI (Internal Discussion and Vote SCIentists), a multi-agent framework built on LLMs that incorporates two key innovations: a Dynamic Knowledge Exchange mechanism enabling iterative feedback among agents, and a Dual-Diversity Review paradigm that simulates heterogeneous expert evaluation. These components jointly promote deeper reasoning and the generation of more creative and impactful scientific ideas. To evaluate the effectiveness and generalizability of our approach, we conduct experiments on two datasets: a widely used benchmark in computer science and a new dataset we introduce in the health sciences domain. Results show that IDVSCI consistently achieves the best performance across both datasets, outperforming existing systems such as AI Scientist and VIRSCI. These findings highlight the value of modeling interaction and peer review dynamics in LLM-based autonomous research."
Debate as Reward: A Multi-Agent Reward System for Scientific Ideation via RL Post-Training,"Moein Salimi, Babak Hosseini Mohtasham, Amin Aghakasiri, Mahdi Naieni, Amir Hossein Qeysarbeigi, Mohammad Masih Shalchian Nazer, Zahra Azar, M. J. Siavoshani, Mohammad H. Rohban",https://www.semanticscholar.org/paper/3154e00cb01da88b38ee8a6fbf902f30fb8fd600,10.48550/arXiv.2604.16723,2026,Multi-agent debate with reinforcement-learning post-training,Scientific innovation and debate quality,Debate as Reward: A Multi-Agent Reward System for Scientific Ideation via RL Post-Training,Directly studies debate as a mechanism for improving scientific ideation while addressing reward hacking and computational efficiency.,"Large Language Models (LLMs) have demonstrated potential in automating scientific ideation, yet current approaches relying on iterative prompting or complex multi-agent architectures often suffer from hallucination or computational inefficiency. A critical bottleneck in applying Reinforcement Learning (RL) to this open-ended domain is reward hacking -- where models exploit imperfect evaluation proxies to maximize scores without producing genuine scientific innovation. To address these limitations, we propose an RL framework explicitly tailored for high-quality scientific idea generation. We propose the first multi-agent reward function designed to serve as a judge, decoupling methodological validation from implementation details while providing strict binary rewards that are robust to reward hacking. To effectively optimize against this sparse signal, we utilize an unbiased variant of Group Relative Policy Optimization to mitigate artificial length bias. We grounded our training in ICLR-320, a curated dataset of problem-solution pairs extracted from ICLR 2024 proceedings. Experiments demonstrate that our framework significantly outperforms state-of-the-art baselines across expert-evaluated metrics of novelty, feasibility, and effectiveness."
"Hallucination as a Feature, not a Defect: Evaluating a multi-agent architecture to transform speculative language-model outputs into testable scientific hypotheses",Nicolas Rodriguez-Alvarez,https://www.semanticscholar.org/paper/11ff6db436c82e66d9dad7005c162e3e2a6e53fc,,2026,Multi-agent orchestration and adversarial transformation,"Speculative novelty, testability, and hallucination control","Hallucination as a Feature, not a Defect: Evaluating a multi-agent architecture to transform speculative language-model outputs into testable scientific hypotheses","Directly relevant to converting speculative generation into testable hypotheses, with implications for novelty–validity tradeoffs.","Contemporary Large Language Models (LLMs) are increasingly aligned to suppress hallucinations, prioritizing factual retrieval over combinatorial creativity. While crucial for mitigating misinformation, this alignment may also restrict speculative Research and Development (R&D) by encouraging what this work operationally treats as semantic overfitting and diversity collapse. In this paper, we propose a Rust-based multi-agent orchestration that uses the contrast between narrative daydreaming and executive control as a functional analogy, not as a neurocognitive claim. The system instigates an Epistemological Friction loop between a high-entropy generating agent and a web-grounded evaluating agent, mediated by a low-entropy semantic bottleneck intended to reduce noise and repetition. Initial experiments generated diverse, viability-rated hypotheses across physical and social-science domains. We additionally report an exploratory paired baseline and ablation study comparing the full system against direct prompting, self-reflection, removal of the semantic filter, removal of search grounding, and removal of lateral lenses. The results place direct prompting among the weakest conditions across most observed metrics, but they do not show a general superiority of the full system over simple self-reflection. Instead, they suggest that each architecture shifts the balance between originality, feasibility, diversity, and empirical grounding in different ways, and that the full system provides its main advantages when hypotheses must survive strong physical, empirical, or institutional constraints. These findings do not show that hallucination is useful in isolation; they suggest that speculative generation gains value only when constrained by architecture, empirical grounding, and explicit evaluation."
Hypothesis Generation with Large Language Models,"Yangqiaoyu Zhou, Haokun Liu, Tejes Srivastava, Hongyuan Mei, Chenhao Tan",https://aclanthology.org/2024.nlp4science-1.10.pdf,10.18653/v1/2024.nlp4science-1.10,2024,Single-LLM hypothesis generation,Hypothesis quality from labeled data and long-context inputs,Hypothesis Generation with Large Language Models,Single-LLM/data-driven hypothesis-generation study that provides a useful baseline for comparing collaborative systems.,"Effective generation of novel hypotheses is instrumental to scientific progress. So far, researchers have been the main powerhouse behind hypothesis generation by painstaking data analysis and thinking (also known as the Eureka moment). In this paper, we examine the potential of large language models (LLMs) to generate hypotheses. We focus on hypothesis generation based on data (i.e., labeled examples). To enable LLMs to handle Long contexts, we generate initial hypotheses from a small number of examples and then update them iteratively to improve the quality of hypotheses. Inspired by multi-armed bandits, we design a reward function to inform the exploitation-exploration tradeoff in the update process. Our algorithm is able to generate hypotheses that enable much better predictive performance than few-shot prompting in classification tasks, improving accuracy by 31.7% on a synthetic dataset and by 13.9%, 3.3% and, 24.9% on three real-world datasets. We also outperform supervised learning by 12.1% and 11.6% on two challenging real-world datasets. Furthermore, we find that the generated hypotheses not only corroborate human-verified theories but also uncover new insights for the tasks."
